Movie Name,Director,Lead_Actor,Lead_Actress,Runtime ( .),Release Date,IMDb_Rating,Language,Animated,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,Music_Rating,Music_Director,CBFC/MPAA,Popularity of Lead Actor (POAM),Popularity of Lead Actress (POAF),Popularity of Director (POD),CSS,Follower Count (Lead Actor),Follower Count (Lead Actress),BO Collection (Total),1st Week,2nd Week,3rd Week,4th Week,Overseas Collection,Budget,Trailer Views,Trailer Likes (K),No. of Screens,Verdict
Inferno,Ron Howard,Tom Hanks,Felicity Jones,121,10/28/2016,6.2,English,Live Action,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,Hans Zimmer,A,0.7,0.75,0.56,0.05,10M,100K,219.52,19.81,8.52,4.41,0.89,185.17,75,"1,38,31,264",39,10000,Hit
Sherlock Holmes,Guy Ritchie,Robert Downey Jr.,Rachel McAdams,129,12/25/2009,7.6,English,Live Action,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.2,Hans Zimmer,UA,0.42,0.4,0.43,0.5,57M,479K,498.44,102.1,46.46,21.6,14.25,289.41,90,"6,81,076",2.5,7500,Superhit
Sherlock Holmes A Game Of Shadows,Guy Ritchie,Robert Downey Jr.,Noomi Rapace,129,12/16/2011,7.4,English,Live Action,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,Hans Zimmer,UA,0.41,0.41,0.43,0.35,57M,218K,535.66,58.75,51.27,33.34,18.24,348.81,125,"4,67,937",2.3,7500,Superhit
Begum Jaan,Srijit Mukherjee,Naseeruddin Shah,Vidya Balan,127,4/14/2017,5.6,Hindi,Live Action,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,Indraadip Dasgupta,A,0.5,0.5,0.6,0.15,149K,9M,30.61,17.83,2.85,0.21,0.11,9.69,19,"3,75,27,718",172,1000,Flop
The Vow,Michael Sucsy,Channing Tatum,Rachel McAdams,104,03-09-2012,6.8,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,Michael Brook,UA,0.51,0.5,0.56,0.15,17M,479K,197.61,61.93,31.08,12.6,8,72.6,30,"61,00,000",34,1000,Hit
The Notebook,Nick Cassavetes,Ryan Gosling,Rachel McAdams,124,6/25/2004,7.8,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,Aaron Zigman,UA,0.25,0.62,0.8,0.25,405K,479K,115.94,21.31,15.23,11.68,9.82,34.93,29,"9,04,820",6.8,1000,Hit
A Walk to Remember,Adam Shankman,Shane West,Mandy Moore,102,1/25/2002,7.3,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,Mervyn Warren,U,0.31,0.43,0.67,0.5,530K,6M,46.06,14.49,10.26,8,3.84,4.83,11.8,"33,00,000",19,1000,Average
The Last Song,Julie Anne Robinson,Liam Hemsworth,Miley Cyrus,107,3/31/2010,6,English,Live Action,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,Aaron Zigman,U,0.06,0.09,0.37,0.35,13M,216M,92.67,9.38,23.03,11.8,7.47,29.72,20,"2,32,199",1.4,1000,Hit
The Best of Me,Michael Hoffman,James Marsden,Michelle Monaghan,118,10/30/2014,6.6,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,Aaron Zigman,A,0.36,0.05,0.5,0,2M,1.7M,41.06,12.92,6.23,3.93,1.96,14.29,26,"77,50,399",21,1000,Average
Safe Haven,Lasse Hallström,Josh Duhamel,Julianne Hough,115,2/14/2013,6.6,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,Deborah Lurie,A,0.11,0,0.33,0.35,2M,5.1M,94.05,8.82,28.63,13.33,8.29,22.65,28,"56,66,100",18,1000,Average
Life as We Know It,Greg Berlanti,Josh Duhamel,Katherine Heigl,115,10-02-2010,6.5,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.5,Blake Neely,UA,0.16,0.68,0.2,0.2,2M,4.5M,105.88,19.66,11.8,8.01,5.96,52.51,38,"21,52,012",15,1000,Hit
Dear John,Lasse Hallström,Channing Tatum,Amanda Seyfried,108,1/24/2010,6.3,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,Deborah Lurie,UA,0.94,0.21,0.6,0.25,17M,6M,142.03,37.87,20.79,8.95,6.22,62.02,25,"1,34,88,231",51,1000,Superhit
Mamma Mia!,Phyllida Lloyd,Pierce Brosnan,Meryl Streep,109,09-12-2008,6.5,English,Live Action,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,Benny Andersson,U,0.77,0.33,0.5,0.25,2.1M,6M,589.71,44.84,30.01,21.08,13.98,445.58,52,"11,49,710",1.1,1000,Blockbuster
In Time,Andrew Niccol,Justin Timberlake,Amanda Seyfried,109,11-04-2011,6.7,English,Live Action,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,Craig Armstrong,A,0.32,0.33,0.33,0.35,72M,6M,165.1,16.51,10.01,5.23,2.53,127.55,40,"13,26,678",5.9,1000,Superhit
Jennifer's Body,Karyn Kusama,Morgan Davies,Amanda Seyfried,102,9/18/2009,5.4,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,Stephen Barton,A,0.5,0.54,0.82,0.33,958K,6M,31.94,8.8,4.72,1.63,0.76,15.74,16,"35,15,736",21,1000,Average
Lucy,Luc Besson,Ryan Gosling,Scarlett Johansson,90,08-06-2014,6.4,English,Live Action,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8,Éric Serra,A,0.28,0.5,0.48,0.3,958K,4M,457.51,61.29,26.73,14.19,8.01,330.93,40,"4,43,57,212",180,1000,Superhit
777 Charlie,Kiranraj K,Rakshit Shetty,Sangeetha Sringeri,164,06-10-2022,8.8,Other Regional,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Nobin Paul,UA,0.6,0.29,0.29,0.35,1M,164K,105,45.4,29.15,13.25,5.74,5.8,20,"91,21,875",134,2000,Superhit
