Movie Name,Director,Lead_Actor,Lead_Actress,Runtime ( .),Release Date,IMDb_Rating,Language,Animated,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,Music_Rating,Music_Director,CBFC/MPAA,Popularity of Lead Actor (POAM),Popularity of Lead Actress (POAF),Popularity of Director (POD),CSS,Follower Count (Lead Actor),Follower Count (Lead Actress),BO Collection (Total),1st Week,2nd Week,3rd Week,4th Week,Overseas Collection,Budget,Trailer Views,Trailer Likes (K),No. of Screens,Verdict
Mr. Popper's Penguins,Mark Waters,Jim Carrey,Carla Gigino,94,6/17/2011,6,English,Animated,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Rolfe Kent,PG,0.8,0.8,0.6,0.35,3M,843K,187,29,15,9,5,119,55,"1,39,70,122",727,3342,Superhit
The Forbidden Kingdom,Rob Minkoff,Jackie Chan,Sarah Shahi,104,4/18/2008,6.5,English,Live Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,David Buckley,PG-13,0.6,0.37,0.55,0.2,6M,137K,128,27.02,13.89,5.43,2.93,76.7,55,"1,39,70,122",257,3151,Hit
Free Birds,Jimmy Hayward,Woody Harrelson,Diane Keaton,91,11-01-2013,5.8,English,Animated,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Dominic Lewis,PG,0.7,0.37,0.5,0,3M,137K,110,19,14,9,8,54,55,"1,39,70,122",382,3736,Hit
AlienÂ³,David Fincher,Charles Dance,Sigourney Weaver,114,5/22/1992,6.4,English,Live Action,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,Elliot Goldenthal,R,0.6,0.8,0.7,0.45,3599,21K,160,26.84,11.25,5.77,4.09,500.25,50,"1,39,70,122",700,2227,Hit
Evita,Alan Parker,Antonio Banderas,Madonna,135,01-10-1997,6.3,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,Andrew Lloyd Webber,PG,0.7,0.8,0.55,0.35,4M,19M,141,0.13,1.02,1.69,11.3,91,55,"1,39,70,122",895,3000,Superhit
Ronin,John Frankenheimer,Robert De Niro,Teri Polo,122,9/25/1998,7.2,English,Live Action,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,Elia Cmiral,R,0.75,0.37,0.5,0.12,59K,137K,41,16,9,6,3,500.25,55,"1,39,70,122","3,290",2487,Hit
The Ghost and the Darkness,Stephen Hopkins,Michael Douglas,Elizabeth Hurley,110,10-11-1996,6.8,English,Live Action,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,Jerry Goldsmith,R,0.75,0.37,0.55,0.5,2M,137K,38,12,9,5,4,500.25,55,"1,39,70,122","1,411",2202,Hit
Paddington,Paul King,Hugh Bonneville,Sally Hawkins,95,1/16/2015,7.3,English,Animated,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Nick Urata,PG,0.8,0.8,0.5,0.35,174K,9590,268,27.67,14.36,9.86,6.28,500.25,55,"1,39,70,122","1,089",100,Hit
The Watch,Akiva Schaffer,Ben Stiller,Gwyneth Paltrow,102,7/27/2012,5.7,English,Live Action,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,Christophe Beck,R,0.7,0.37,0.55,0,2M,137K,68,19,10,3,0.67,32,68,"1,39,70,122",120,3168,Average
The Hunted,William Friedkin,Tommy Lee Jones,Leelee Sobieski,94,3/14/2003,6,English,Live Action,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,Brian Tyler,R,0.6,0.37,0.55,0.35,100K,137K,45,16,8,4,2,11,55,"1,39,70,122","1,467",2517,Average
Instinct,Jon Turteltaub,Anthony Hopkins,Angelina Jolie,126,06-04-1999,6.5,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,Danny Elfman,R,0.75,0.37,0.6,0.5,5M,137K,34,14,9,4,2,500.25,80,"1,39,70,122","1,250",2129,Hit
Stuck on You,Peter Farrelly,Matt Damon,Gong Li,118,12-12-2003,5.8,English,Live Action,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Lee Scott,PG-13,0.75,0.37,0.55,0.35,104K,137K,65,11,9,7,3,31,55,"1,39,70,122",996,3007,Hit
Semi-Pro,Kent Alterman,Will Ferrell,Elizabeth Hurley,91,2/29/2008,5.8,English,Live Action,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,Theodore Shapiro,R,0.7,0.37,0.5,0.3,115K,137K,44,18,7,4,1,10,55,"1,39,70,122","3,528",3121,Superhit
Changeling,Clint Eastwood,Angelina Jolie,Angelina Jolie,141,10/31/2008,7.8,English,Live Action,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Clint Eastwood,R,0.8,0.8,0.8,0.5,15.3,15.3,113,0.67,12.62,10.07,5.59,77,55,"1,39,70,122","3,335",1896,Hit
Chain Reaction,Andrew Davis,Keanu Reeves,Rachel Weisz,107,08-02-1996,5.6,English,Live Action,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,Jerry Goldsmith,PG-13,0.7,0.8,0.55,0.3,181K,206K,60,11,5,90.21,67.25,38,75,"1,39,70,122","3,700",2255,Average
The Fan,Tony Scott,Robert De Niro,Ellen Barkin,116,8/16/1996,5.9,English,Live Action,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Hans Zimmer,R,0.8,0.8,0.55,0.55,59K,8.5K,18,9,4,90.21,67.25,500.25,55,"1,39,70,122","2,967",2016,Flop
The Phantom of the Opera,Joel Schumacher,Gerard Butler,Emmy Rossum,143,1/21/2005,7.2,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9,Andrew Lloyd Webber,PG-13,0.7,0.8,0.55,0.32,3M,4M,154,2.32,9.09,6.71,4.75,103.38,70,"1,39,70,122","1,578",1515,Hit
Elizabeth: The Golden Age,Shekhar Kapur,Clive Owen,Cate Blanchett,114,10-12-2007,6.8,English,Live Action,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,Craig Armstrong and A.R.Rahman,PG-13,0.7,0.8,0.7,0.35,28K,508K,74,8,4,2,0.84,59,55,"1,39,70,122","4,700",2006,Average
Ã†on Flux,Karyn Kusama,Charlie Beall,Charlize Theron,93,12-02-2005,5.4,English,Animated,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Graeme Revell,PG-13,0.6,0.8,0.5,0.55,850K,8M,52,15,5,2,0.63,27.44,25,"1,39,70,122",34,2608,Average
Gods and Generals,Ron Maxwell,Stephen Lang,Teri Polo,219,2/21/2003,6.2,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,John Firzzel,PG-13,0.6,0.37,0.6,0.55,106K,137K,12,5,3,1,0.87,0.04,150,398007,1637,1533,Flop
Turbulence,Robert Butler,Ray Liotta,Lauren Holly,100,01-10-1997,4.9,English,Live Action,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Shirley Walker,R,0.6,0.8,0.55,1,187K,73K,80,25,15,10,5,40,225,"1,39,70,122",1221,100,Hit
Imagine That,Karey Kirkpatrick,Eddie Murphy,Yara Shahidi,107,12-06-2009,5.6,English,Live Action,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,Mark Mancina,PG,0.75,0.8,0.6,0.35,42K,9M,22.97,5.48,2.68,1.29,0.47,16.12,150,"52,21,957",54,3000,Flop
Muppets Most Wanted,James Bobin,Ricky Gervais,Ty Burrell,107,21-03-2014,6.3,English,Live Action,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,Christophe Beck,PG,0.6,0.8,0.6,0.4,4M,294K,80.38,17.01,8.79,4.38,2.17,33.09,100,"67,06,687",56,3000,Flop
Thunderbirds,Jonathan Frakes,Brady Corbet,Soren Fulton,95,24-07-2004,4.2,English,Live Action,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,Ramin Djawadi,PG,0.6,0.8,0.55,0.4,404K,197K,28.33,4.57,2.42,1.32,0.57,28.24,20,"40,70,481",44,3000,Flop
Burlesque,Steve Antin,Cher,Kirsten Dunst,119,24-11-2010,6.4,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.6,Christina Aguilera,No,0.8,0.37,0.5,0.61,3M,137K,89.04,11.9,5.37,2.4,1.4,51.12,70,11154438,87,3000,Average
A Very Long Engagement,Jean-Pierre Jeunet,Gaspard Ulliel,Audrey Tautou,133,27-10-2004,7.6,French,Live Action,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.2,Angelo Badalamenti,R,0.6,0.8,0.55,0.3,101K,52K,70.2,7.6,3.68,1.67,0.77,57.9,17,"39,91,303",51,3000,Hit
Lolita,Stanley Kubrick,James Mason,Sue Lyon,137,25-09-1962,7.6,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.1,Nelson Riddle,UA,0.8,0.8,0.75,0.3,13K,54K,11,10.2,5.5,2.9,1.9,1.8,3,"43,17,235",172,300,Hit
123 D-Tox/Eye See You (2002),Jim Gillespie,Sylvester Stallone,Polly Walker,96,18-01-2002,5.9,English,Live Action,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.8,John Powell,UA,0.6,0.8,0.5,0.45,16.7M,76K,79.5,18.4,5.2,2.4,1.3,12.8,30,"12,76,932",193,500,Flop
Blade II,Guillermo del Toro,Wesley Snipes,Kris Kristofferson,117,22-03-2002,6.7,English,Live Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.7,Marco Beltrami,UA,0.6,0.8,0.55,0.2,1M,37K,155,155,81.7,39.3,12.8,72,40,"18,00,000",274,600,Hit
Seven Pounds,Gabriele Muccino,Will Smith,Rosario Dawson,123,19-12-2008,7.6,English,Live Action,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Angelo Milli,UA,0.75,0.8,0.55,0.4,65M,2M,168,168,70.6,35.3,14.1,72.3,30,"14,85,123",239,400,Hit
Bullet to the Head,Walter Hill,Sylvester Stallone,Sarah Shahi,92,01-02-2013,5.7,English,Live Action,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,Steve Mazzaro,A,0.8,0.8,0.55,0.5,16.7M,2M,27,9.5,3.1,2.7,1.2,17.3,15,"7,37,198",196,400,Flop
The Godfather Part III,Francis Ford Coppola,Al Pacino,Diane Keaton,162,20-12-1990,7.6,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.8,Carmine Coppola,A,0.6,0.8,0.55,0.3,875K,3M,136.8,136.8,66.6,32.9,6.3,70.7,7.5,"11,10,042",344,700,Blockbuster
Elizabethtown,Cameron Crowe,Orlando Bloom,Kirsten Dunst,123,14-10-2005,6.4,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6.7,Various,UA,0.75,0.8,0.75,0.3,7M,2M,57,52.9,32.1,18,7.5,33,18,"14,55,002",371,"1,000",Average
Moulin Rouge!,Baz Luhrmann,Nicole Kidman,Ewan McGregor,127,01-06-2001,7.6,English,Live Action,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,Craig Armstrong,UA,0.7,0.8,0.6,0.35,10M,62K,179.2,179.2,167,57,50,127.9,25,"12,79,610",292,600,Blockbuster
Domestic Disturbance,Harold Becker,John Travolta,Vince Vaughn,89,02-11-2001,5.6,English,Live Action,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5.5,Mark Mancina,UA,0.8,0.8,0.55,0.35,5M,14K,54.7,45.3,27.1,14.5,6.9,32.1,58,"6,04,520",218,"3,000",Average
Black Mass,Scott Cooper,Johnny Depp,Benedict Cumberbatch,123,18-09-2015,6.9,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6.9,Tom Holkenborg,A,0.8,0.8,0.55,0.35,27M,42K,99.8,99.8,62.6,27.8,5.9,68.9,37,"11,99,998",232,"3,000",Average
Flags of Our Fathers,Clint Eastwood,Ryan Phillippe,Kirsten Dunst,135,20-10-2006,7.1,English,Live Action,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.3,Clint Eastwood,UA,0.7,0.37,0.8,0.35,1M,137K,65.9,65.9,40.7,16.4,4.7,33.9,32,"6,57,999",366,"3,000",Average
Law Abiding Citizen,F. Gary Gray,Jamie Foxx,Gerard Butler,109,16-10-2009,7.4,English,Live Action,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.4,Brian Tyler,UA,0.75,0.8,0.55,0.35,17M,3M,126.7,126.7,73.3,35.4,8.4,50.8,88,"12,09,411",295,"3,000",Average
Grindhouse,Quentin Tarantino,Kurt Russell,Rose McGowan,191,06-04-2007,7.5,English,Live Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.5,Variety of Artists,No,0.6,0.8,0.75,0.1,69K,814K,25,25,11.6,3.2,0.8,24.6,25,556636,799,"1,000",Hit
Beloved,Jonathan Demme,Danny Glover,Oprah Winfrey,172,16-10-1998,5.9,English,Live Action,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7.5,Rachel Portman,UA,0.6,0.8,0.55,0.35,3391,22.2M,32.7,22.9,15.8,7.6,2.3,12.2,4,"4,33,932",82,300,Hit
The Dukes of Hazzard,Jay Chandrasekhar,John Schneider,Catherine Bach,104,05-08-2005,5.1,English,Live Action,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.1,Nathan Barr,UA,0.6,0.8,0.5,0.33,74K,25K,111.2,80.3,11.7,8.6,10.6,60.4,4,"6,05,496",350,"3,000",Average
The Thin Red Line,Terrence Malick,Sean Penn,Adrien Brody,170,25-12-1998,7.6,English,Live Action,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,Hans Zimmer,A,0.75,0.8,0.6,0.45,189K,927K,98.1,36.4,27.2,18.9,15.6,98.1,14,"6,25,864","2,262",600,Average
The Change-Up,David Dobkin,Ryan Reynolds,Jason Bateman,112,05-08-2011,6.3,English,Live Action,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,Theodore Shapiro,UA,0.7,0.8,0.55,0.25,50M,859K,75.5,37.1,13.5,9.3,8.4,49.8,41,"8,32,975","2,913","2,600",Flop
Man on the Moon,Milos Forman,Jim Carrey,Danny DeVito,118,22-12-1999,7.4,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,R.E.M.,A,0.75,0.8,0.6,0.45,3M,13K,47.4,16.3,13.4,9.7,6.2,47.4,260,"4,00,943","1,252",600,Hit
Casino,Martin Scorsese,Robert De Niro,Sharon Stone,178,22-11-1995,8.2,English,Live Action,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Various Artists,A,0.8,0.8,0.75,0.45,59K,4M,116.1,42.5,34.9,20.9,18.2,32.4,3.5,"6,30,674","1,616",500,Hit
From Paris with Love,Pierre Morel,John Travolta,Jonathan Rhys Meyers,92,05-02-2010,6.5,English,Live Action,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6.5,David Buckley,UA,0.7,0.8,0.6,0.3,5M,12K,52.8,23.7,10.9,8.5,4.2,30.6,35,"5,53,841","2,722","2,600",Flop
Bulletproof Monk,Paul Hunter,Chow Yun-fat,Kirsten Dunst,104,16-04-2003,5.5,English,Live Action,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,Eric Serra,UA,0.7,0.37,0.55,0.5,473K,137K,37.7,23.3,7.7,4.2,2.5,15.9,20,"4,41,744","2,824","2,500",Flop
"Me, Myself & Irene",Farrelly Brothers,Jim Carrey,Renée Zellweger,116,23-06-2000,6.5,English,Live Action,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,Lee Scott,UA,0.75,0.8,0.55,0.15,3M,87K,149.3,24.2,23.5,17.4,13.2,91.5,2.1,"6,79,291","3,019","2,600",Hit
Ted,Seth MacFarlane,Mark Wahlberg,Mila Kunis,106,29-06-2012,6.9,English,Live Action,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Walter Murphy,A,0.7,0.8,0.6,0.35,26M,1M,549.4,54.4,54.3,53.1,45.7,330.6,2.8,"4,94,512","3,239","3,200",Blockbuster
As Good as It Gets,James L. Brooks,Jack Nicholson,Helen Hunt,139,25-12-1997,7.7,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.4,Hans Zimmer,UA,0.8,0.8,0.6,0,89K,545K,314.1,12.6,12.4,11.9,11.1,53.8,75,"4,58,931","2,011","2,000",Blockbuster
Patch Adams,Tom Shadyac,Robin Williams,Monica Potter,115,25-12-1998,6.8,English,Live Action,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,Marc Shaiman,A,0.8,0.8,0.55,0.29,109K,106K,202.3,25.3,16.3,12.4,9.7,107.1,5.01,"4,56,154","2,711","2,600",Blockbuster
Anchorman 2: The Legend Continues,Adam McKay,Will Ferrell,Christina Applegate,119,18-12-2013,6.3,English,Live Action,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,Andrew Feltenstein,UA,0.7,0.8,0.55,1,115K,209K,173.6,40.9,32.9,18.4,12.4,48.1,75,"5,20,588","3,507","3,400",Blockbuster
Mr. Deeds,Steven Brill,Adam Sandler,Winona Ryder,96,28-06-2002,5.8,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,Theodore Shapiro,UA,0.75,0.8,0.55,0.13,20M,595K,171.3,37.2,23.5,13.5,8.6,44.4,2.5,"4,84,298","2,718","2,600",Blockbuster
Super 8,J.J. Abrams,Joel Courtney,Elle Fanning,112,10-06-2011,7,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.5,Michael Giacchino,UA,0.6,0.8,0.65,0.55,5M,6M,260.1,35.5,26.1,21.3,15.2,130.3,1.45,"4,83,058","3,379","3,300",Blockbuster
Erin Brockovich,Julia Roberts,Albert Finney,Julia Roberts,131,17-03-2000,7.3,English,Live Action,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Thomas Newman,UA,0.75,0.8,0.6,1,4362,11.5M,256.3,28.1,22.3,16.7,13.4,131.3,50,"4,37,122","2,742","2,700",Blockbuster
How to Lose a Guy in 10 Days,Donald Petrie,Matthew McConaughey,Kate Hudson,116,07-02-2003,6.4,English,Live Action,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.6,David Newman,UA,0.75,0.8,0.55,0.5,9M,18M,177.4,23.8,18.6,14.6,11.5,101.2,400,"4,46,113","2,923","2,900",Blockbuster
22 Jump Street,Phil Lord,Jonah Hill,Channing Tatum,112,13-06-2014,7,English,Live Action,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,Mark Mothersbaugh,UA,0.7,0.8,0.55,0.21,18K,17M,331.3,57.1,34.9,24.7,19.3,134.2,32,"5,14,017","3,426","3,400",Blockbuster
Interview with the Vampire,Neil Jordan,Tom Cruise,Kirsten Dunst,123,11-11-1994,7.6,English,Live Action,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,Elliot Goldenthal,R,0.7,0.8,0.55,0.35,12M,2M,223.7,36.4,21.9,13.5,9.2,119.4,70,"4,82,564","2,559","2,500",Hit
Knowing,Alex Proyas,Nicolas Cage,Rose Byrne,121,20-03-2009,6.2,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.5,Marco Beltrami,R,0.7,0.8,0.6,0.13,76K,535K,186.5,24.6,16.5,12.6,9.1,103,1.5,"4,72,695","3,332","3,300",Blockbuster
Failure to Launch,Tom Dey,Matthew McConaughey,Sarah Jessica Parker,97,10-03-2006,5.6,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Don Davis,PG-13,0.6,0.8,0.55,0.55,9M,10M,128.4,24.4,16.3,10.1,7.2,73.5,1.5,"4,71,789","3,070","3,000",Blockbuster
The Ring Two,Hideo Nakata,David Dorfman,Naomi Watts,110,18-03-2005,5.4,English,Live Action,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,Hans Zimmer,PG-13,0.55,0.8,0.55,0.55,11K,2M,161.5,35.1,15,8.9,6.4,85.6,55,"4,50,328","2,798","2,700",Hit
"Crazy, Stupid, Love.",Glenn Ficarra,Steve Carell,Lio Tipton,118,29-07-2011,7.4,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,Christophe Beck,PG-13,0.75,0.8,0.55,0.4,847K,151K,142.9,19.1,15.5,11.5,8.1,65.9,108,"4,67,623","3,140","3,100",Hit
Garfield,Peter Hewitt,Bill Murray,Jennifer Love Hewitt,80,11-06-2004,5,English,Live Action,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,Christophe Beck,PG,0.6,0.8,0.55,0.3,20K,1M,200.8,21.7,15.6,10.1,7.2,109.9,125,"4,60,445","3,150","3,100",Blockbuster
Christmas with the Kranks,Joe Roth,Tim Allen,Jamie Lee Curtis,99,24-11-2004,5.4,English,Live Action,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,Teddy Castellucci,PG,0.7,0.8,0.55,0.5,11K,6M,96.6,21.5,15.1,10,6.9,45,150,"4,48,671","3,416","3,400",Flop
Moneyball,Bennett Miller,Brad Pitt,Jonah Hill,133,23-09-2011,7.6,English,Live Action,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.2,Mychael Danna,PG-13,0.8,0.8,0.6,0.6,2M,18K,110.2,19.5,13.6,9.6,6.5,34.7,75,"4,68,980","2,990","2,900",Hit
Don't Say a Word,Gary Fleder,Michael Douglas,Brittany Murphy,113,9/28/2001,6.3,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.3,Mark Isham,R,0.75,0.8,0.5,0.45,2M,44K,100,16.9,11.7,8.6,5.8,40.9,90,"3,58,456","2,781","2,700",Hit
Hansel & Gretel: Witch Hunters,Tommy Wirkola,Jeremy Renner,Gemma Arterton,88,1/25/2013,6.1,English,Live Action,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Atli Örvarsson,R,0.7,0.8,0.55,0.35,21M,71K,226.3,19.7,13.6,10.1,7.1,170.7,125,"3,36,024","3,327","3,300",Average
Unfaithful,Adrian Lyne,Richard Gere,Diane Lane,124,05-10-2002,6.6,English,Live Action,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3,Andrea Morricone,R,0.7,0.8,0.5,0.55,61K,15K,119.1,14.1,10.4,7.2,5.4,85.5,19,"3,22,178","2,602","2,600",Blockbuster
I Am Number Four,D.J. Caruso,Alex Pettyfer,Teresa Palmer,111,2/18/2011,6.1,English,Live Action,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.2,Trevor Rabin,PG-13,0.6,0.8,0.6,0.4,2M,1M,149.9,19.4,11.9,8.5,6,89.1,30,"3,16,518","3,156","3,100",Superhit
Syriana,Stephen Gaghan,George Clooney,Matt Damon,128,11/23/2005,6.9,English,Live Action,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.7,Alexandre Desplat,R,0.8,0.8,0.55,0,36K,104K,93.7,12.8,10,7.3,5.6,50.8,29,"2,80,262","2,219","2,200",Hit
13 Hours: The Secret Soldiers of Benghazi,Michael Bay,John Krasinski,Alexia Barlier,144,1/15/2016,7.3,English,Live Action,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.7,Lorne Balfe,R,0.7,0.8,0.7,0.35,5M,13K,69.4,16.2,9.9,7.3,5.4,42.9,11.8,"3,47,394","2,918","2,900",Blockbuster
The Book of Life,Jorge R. Gutierrez,Diego Luna,Zoe Saldana,95,10/17/2014,7.3,English,Animated,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Gustavo Santaolalla,PG,0.7,0.8,0.55,0.25,1.1M,11M,99.8,17,11.4,8,5.7,49.5,20,"3,73,482","3,113","3,100",Average
